"","cited","citing"
"247","10.1073/pnas.71.10.4135","10.1111/febs.12892"
"248","10.1073/pnas.71.10.4135","10.1111/febs.12532"
"249","10.1073/pnas.71.10.4135","10.1098/rsif.2008.0280"
"250","10.1073/pnas.71.10.4135","10.1016/j.jtbi.2004.06.026"
"251","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1994.tb20059.x"
"252","10.1073/pnas.71.10.4135","10.1038/s41467-020-14806-y"
"253","10.1073/pnas.71.10.4135","10.1016/j.isci.2021.103526"
"254","10.1073/pnas.71.10.4135","10.1103/revmodphys.92.025001"
"255","10.1073/pnas.71.10.4135","10.1016/j.plrev.2016.06.010"
"256","10.1073/pnas.71.10.4135","10.1371/journal.pone.0000244"
"257","10.1073/pnas.71.10.4135","10.1111/j.1469-185x.2008.00052.x"
"258","10.1073/pnas.71.10.4135","10.1103/physrevresearch.3.l032034"
"259","10.1073/pnas.71.10.4135","10.1103/physrevlett.93.258103"
"260","10.1073/pnas.71.10.4135","10.1016/j.jmb.2021.167189"
"261","10.1073/pnas.71.10.4135","10.1016/j.jmb.2020.07.007"
"262","10.1073/pnas.71.10.4135","10.1016/s0022-2836(03)00236-5"
"263","10.1073/pnas.71.10.4135","10.1002/bies.950060109"
"264","10.1073/pnas.71.10.4135","10.1002/(sici)1521-1878(199802)20:2<181::aid-bies10>3.0.co;2-0"
"265","10.1073/pnas.71.10.4135","10.1002/bies.20010"
"266","10.1073/pnas.71.10.4135","10.1002/bies.10369"
"267","10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.001"
"268","10.1073/pnas.71.10.4135","10.1016/j.physrep.2020.01.002"
"269","10.1073/pnas.71.10.4135","10.1016/j.physrep.2013.03.005"
"270","10.1073/pnas.71.10.4135","10.7124/bc.000873"
"271","10.1073/pnas.71.10.4135","10.7124/bc.00082d"
"272","10.1073/pnas.71.10.4135","10.1039/d2cs00114d"
"273","10.1073/pnas.71.10.4135","10.1073/pnas.1307288110"
"274","10.1073/pnas.71.10.4135","10.1073/pnas.1301585110"
"275","10.1073/pnas.71.10.4135","10.1073/pnas.0705988104"
"276","10.1073/pnas.71.10.4135","10.1038/269655a0"
"277","10.1073/pnas.71.10.4135","10.1016/j.physa.2022.127735"
"278","10.1073/pnas.71.10.4135","10.1002/qua.560480710"
"279","10.1073/pnas.71.10.4135","10.1038/nri2688"
"280","10.1073/pnas.71.10.4135","10.1038/nri2469"
"281","10.1073/pnas.71.10.4135","10.1126/science.1904626"
"282","10.1073/pnas.71.10.4135","10.1021/bi00588a039"
"283","10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b08380"
"284","10.1073/pnas.71.10.4135","10.1021/acs.jpcb.9b05722"
"285","10.1073/pnas.71.10.4135","10.1128/mr.42.3.529-576.1978"
"286","10.1073/pnas.71.10.4135","10.1128/mr.56.4.592-621.1992"
"287","10.1073/pnas.71.10.4135","10.1128/mr.60.1.103-134.1996"
"288","10.1073/pnas.71.10.4135","10.1128/mr.56.3.412-429.1992"
"289","10.1073/pnas.71.10.4135","10.1042/bst0360567"
"290","10.1073/pnas.71.10.4135","10.1098/rsfs.2022.0013"
"291","10.1073/pnas.71.10.4135","10.1038/nsmb.1880"
"292","10.1073/pnas.71.10.4135","10.1016/s0021-9258(19)51068-7"
"293","10.1073/pnas.71.10.4135","10.1074/jbc.m110.105320"
"294","10.1073/pnas.71.10.4135","10.1074/jbc.m110.133553"
"295","10.1073/pnas.71.10.4135","10.1016/j.pharmthera.2022.108175"
"296","10.1073/pnas.71.10.4135","10.1007/bf00331638"
"297","10.1073/pnas.71.10.4135","10.1016/j.copbio.2018.01.029"
"298","10.1073/pnas.71.10.4135","10.2119/molmed.2009.00026"
"299","10.1073/pnas.71.10.4135","10.1111/j.1432-1033.1979.tb12915.x"
"300","10.1073/pnas.71.10.4135","10.1142/s0218339018500158"
"301","10.1073/pnas.71.10.4135","10.1016/0014-5793(80)80211-0"
"302","10.1073/pnas.71.10.4135","10.1016/0014-5793(83)80519-5"
"303","10.1073/pnas.71.10.4135","10.3390/ijms22020952"
"304","10.1073/pnas.71.10.4135","10.1021/nl502890g"
"305","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003300"
"306","10.1073/pnas.71.10.4135","10.1371/journal.pcbi.1003016"
"307","10.1073/pnas.71.10.4135","10.1103/physrevlett.115.038102"
"308","10.1073/pnas.71.10.4135","10.1016/j.semcdb.2011.03.009"
"309","10.1073/pnas.71.10.4135","10.1016/j.semcdb.2010.03.006"
