"cited","citing"
"10.1038/s41467-022-29210-x","10.1021/acschembio.3c00268"
"10.1038/s41467-022-29210-x","10.1002/cbic.202200537"
"10.1038/s41467-022-29210-x","10.1021/jacs.2c12462"
"10.1038/s41467-022-29210-x","10.1038/s41467-022-33004-6"
"10.1186/s12870-018-1361-y","10.1016/j.indcrop.2022.115147"
"10.1186/s12870-018-1361-y","10.3390/molecules26185664"
"10.1186/s12870-018-1361-y","10.1016/j.postharvbio.2021.111726"
"10.1186/s12870-018-1361-y","10.1515/psr-2020-0125"
"10.1186/s12870-018-1361-y","10.1039/d3np00042g"
"10.1039/c9cc07898c","10.3390/ijms232315437"
"10.1039/c9cc07898c","10.1016/j.biortech.2022.128522"
"10.1039/c9cc07898c","10.3390/antibiotics11070936"
"10.1039/c9cc07898c","10.3390/antibiotics10080898"
"10.1039/c9cc07898c","10.3390/molecules28104183"
"10.1039/c9cc07898c","10.3390/antibiotics12050821"
"10.1039/c9cc07898c","10.3390/ijms21176216"
"10.1039/c9cc07898c","10.3389/fmicb.2020.01767"
"10.1039/c9cc07898c","10.1021/acsabm.2c01023"
"10.1039/c9cc07898c","10.1038/s41598-022-16303-2"
"10.1039/c9cc07898c","10.1021/acsnano.1c11013"
"10.1039/c9cc07898c","10.1021/acsinfecdis.1c00261"
"10.1039/c9cc07898c","10.1038/s41587-022-01327-w"
"10.1039/c9cc07898c","10.1038/s41598-020-77990-3"
"10.1039/c9cc07898c","10.1016/j.jconrel.2022.06.037"
"10.1039/c9cc07898c","10.1155/2022/5218950"
"10.1039/c9cc07898c","10.1021/acsnano.0c09509"
"10.1039/c9cc07898c","10.1126/science.adh1114"
"10.1039/c9cc07898c","10.1016/j.arbres.2021.09.007"
"10.1039/c9cc07898c","10.1016/j.biotechadv.2020.107586"
"10.1039/c9cc07898c","10.1111/jam.14701"
"10.1039/c9cc07898c","10.1080/17460441.2023.2250721"
"10.1039/c9cc07898c","10.1038/s41598-024-55205-3"
"10.1039/c9cc07898c","10.1016/j.mib.2021.06.001"
"10.1039/c9cc07898c","10.1016/j.scitotenv.2022.160461"
"10.1039/c9cc07898c","10.1002/btm2.10167"
"10.1039/c9cc07898c","10.1016/j.jinorgbio.2021.111391"
"10.1039/c9cc07898c","10.1021/acsnano.2c10249"
"10.1039/c9cc07898c","10.1016/j.addr.2021.113863"
"10.1039/c9cc07898c","10.3389/fmicb.2022.888540"
"10.1039/c9cc07898c","10.1039/d1dd00024a"
"10.1039/c9cc07898c","10.1038/s42003-021-02586-0"
"10.1039/c9cc07898c","10.1016/j.eng.2022.08.011"
"10.1039/c9cc07898c","10.1021/acs.jafc.0c01377"
"10.1021/acs.biochem.7b00722","10.1021/acs.accounts.8b00048"
"10.1021/acs.biochem.7b00722","10.1021/acschembio.2c00138"
"10.1021/acs.biochem.7b00722","10.1002/cbic.201900225"
"10.1021/acs.biochem.7b00722","10.1002/cbic.201800558"
"10.1021/acs.biochem.7b00722","10.1073/pnas.1722633115"
"10.1021/acs.biochem.7b00722","10.1063/5.0019054"
"10.1021/acs.biochem.7b00722","10.1038/s41557-020-0420-9"
"10.1021/acs.biochem.7b00375","10.1096/fj.201801218rr"
"10.1021/acs.biochem.7b00375","10.1002/cphc.202300351"
"10.1021/acs.biochem.7b00375","10.1002/bip.23420"
"10.1021/acs.biochem.7b00375","10.1021/acschembio.8b00276"
"10.1021/acs.biochem.7b00375","10.3390/ijms21238915"
"10.1021/acs.biochem.7b00375","10.1002/pro.4362"
"10.1021/acs.biochem.7b00375","10.1002/pro.3850"
"10.1021/acs.biochem.7b00375","10.1002/pro.3488"
"10.1021/acs.biochem.7b00375","10.1093/bib/bbad242"
"10.1021/acs.biochem.7b00375","10.1126/science.abd8700"
"10.1021/acs.biochem.7b00375","10.1016/j.sbi.2020.11.006"
"10.1021/acs.biochem.7b00375","10.1002/1873-3468.13211"
"10.1021/acs.biochem.7b00375","10.1021/jacsau.1c00175"
"10.1021/acs.biochem.7b00375","10.1016/j.bbamem.2018.02.022"
"10.1021/acs.biochem.7b00375","10.1021/acs.jpclett.1c01831"
"10.1021/acs.biochem.7b00375","10.1021/acschemneuro.2c00272"
"10.1021/acs.biochem.7b00375","10.1093/molbev/msab017"
"10.1021/acs.biochem.7b00375","10.7554/elife.76630"
"10.1021/acs.biochem.7b00375","10.1021/acsomega.2c01407"
"10.1021/acs.biochem.7b00375","10.1016/j.bbapap.2022.140767"
"10.1021/acs.biochem.7b00375","10.1074/jbc.ra120.014162"
"10.1021/acs.biochem.7b00375","10.1021/acs.jpcb.1c10965"
"10.1021/acs.biochem.7b00375","10.1074/jbc.ra119.011122"
"10.1021/acs.biochem.7b00375","10.3390/molecules25153440"
